Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
D1240_01N_B3403,Road D1240 over river,Bridge,Bridge,10/8/2012,01N,D1240,10.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D1322_01N_C5085,drainage,Major Culvert,Culvert Major,10/13/2012,01N,D1322,7.40,6/30/2022,10. Walls, 120. Seal cracks,C1,1.00,750.00,m,750.00,1,1,1,133.00,1
D1322_01N_C5085,drainage,Major Culvert,Culvert Major,10/13/2012,01N,D1322,7.40,6/30/2022,14. Miscellaneous Items, 604. Install clearance sign,BE,2.00,7640.00,No,15280.00,1,1,1,7.00,3
D1322_01N_C5085,drainage,Major Culvert,Culvert Major,10/13/2012,01N,D1322,7.40,6/30/2022,02. Wing / Ret / Head Walls, 120. Seal cracks,E2,1.00,750.00,m,750.00,1,1,1,133.00,1
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,10/10/2012,01N,D1240,1.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S5,5.00,750.00,L,3750.00,1,1,4,107.00,2
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,10/10/2012,01N,D1240,1.00,6/30/2022,11. Parapet, 120. Seal cracks,S2,12.00,750.00,m,0.00,0,0,4,9999999.00,1
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,10/10/2012,01N,D1240,1.00,6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,4.00,1080.00,No,4320.00,3,4,4,93.00,3
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,10/10/2012,01N,D1240,1.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D1240_01N_B3367,Road D1240 over rail,Bridge,Bridge,10/10/2012,01N,D1240,1.00,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),BU,20.00,630.00,No,12600.00,3,4,9,71.00,3
D1132_01N_IDC2305,unknown,Major Culvert,Culvert Major,10/26/2012,01N,D1132,1.70,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,6.00,630.00,m3,3780.00,1,1,1,26.00,3
D1132_01N_IDC2305,unknown,Major Culvert,Culvert Major,10/26/2012,01N,D1132,1.70,6/30/2022,05. Waterway, 209. Clear siltation,AC,4.00,630.00,m3,2520.00,1,1,1,40.00,3
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,10/4/2012,01N,D1321,1.00,6/30/2022,08. Surfacing, 207. Clear debris,BU,4.00,750.00,m3,3000.00,1,1,4,133.00,1
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,10/4/2012,01N,D1321,1.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,2.00,750.00,L,1500.00,1,1,1,67.00,3
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,10/4/2012,01N,D1321,1.00,6/30/2022,06. Abutments, 120. Seal cracks,U1,1.00,750.00,m,0.00,0,0,1,9999999.00,1
D1321_01N_B4388,Road D1321 over canal,Bridge,Bridge,10/4/2012,01N,D1321,1.00,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U1,2.00,630.00,No,1260.00,1,1,1,79.00,3
D1059_01N_IDC0884,Culvert (597),Major Culvert,Culvert Major,10/18/2012,01N,D1059,2.60,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),AC,10.00,750.00,L,7500.00,2,4,1,13.00,3
D1059_01N_IDC0884,Culvert (597),Major Culvert,Culvert Major,10/18/2012,01N,D1059,2.60,6/30/2022,14. Miscellaneous Items, 604. Install clearance sign,BE,2.00,7640.00,No,15280.00,1,1,4,26.00,3
D1059_01N_IDC0884,Culvert (597),Major Culvert,Culvert Major,10/18/2012,01N,D1059,2.60,6/30/2022,10. Walls, 118. Repair spall (including honeycombing),AC,10.00,750.00,L,7500.00,2,4,1,13.00,3
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,10/3/2012,01N,D1676,3.60,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,10.00,750.00,No,7500.00,2,4,4,53.00,3
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,10/3/2012,01N,D1676,3.60,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,2.00,750.00,m,1500.00,1,1,1,67.00,3
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,10/3/2012,01N,D1676,3.60,6/30/2022,11. Parapet, 459. Paint steel rails,AS,50.00,750.00,m2,37500.00,1,1,1,3.00,3
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,10/3/2012,01N,D1676,3.60,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),U2,2.00,750.00,L,1500.00,1,1,1,67.00,3
D1676_01N_B1607,Hartbeesfontein Bridge 1607,Bridge,Bridge,10/3/2012,01N,D1676,3.60,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,4,37.00,3
D1321_01N_IDC2020,D1321 over stream,Major Culvert,Culvert Major,10/4/2012,01N,D1321,17.00,6/30/2022,05. Waterway, 209. Clear siltation,C2,8.00,630.00,m3,5040.00,1,1,4,79.00,3
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,U2,1.00,5380.00,No,5380.00,1,1,1,19.00,3
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,11. Parapet, 120. Seal cracks,AS,8.00,750.00,m,6000.00,1,1,4,67.00,3
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,2.00,750.00,L,1500.00,1,1,4,267.00,1
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,06. Abutments, 120. Seal cracks,BU,4.00,750.00,m,3000.00,1,1,4,133.00,1
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,2.00,3100.00,No,6200.00,1,1,4,65.00,3
D1316_01N_B4443,D1316 over rail,Bridge,Bridge,10/23/2012,01N,D1316,17.80,6/30/2022,04. Approach Embankment Protection Works, 401. Apply weed killer/ant poison and remove growth,BU,100.00,80.00,m2,8000.00,1,1,1,12.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,06. Abutments, 120. Seal cracks,BU,8.00,750.00,m,6000.00,1,1,4,67.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S7,3.00,750.00,m,2250.00,1,1,4,178.00,1
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,30.00,1220.00,m,36600.00,2,4,4,11.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,14. Piers & Columns, 120. Seal cracks,"P1,P2",16.00,750.00,m,12000.00,3,4,9,75.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U2,2.00,750.00,m,1500.00,1,1,1,67.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,03. Waterway, 207. Clear debris,S1,2.00,750.00,m3,1500.00,1,1,1,67.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,U1,4.00,3100.00,No,12400.00,3,4,4,32.00,3
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),"P3,P4",6.00,750.00,L,4500.00,1,1,9,200.00,1
D1240_01N_B1710,Road D1240 over Klipriver,Bridge,Bridge,10/10/2012,01N,D1240,3.00,6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,4.00,1080.00,No,4320.00,3,4,0,0.00,3
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,10/18/2012,01N,D1059,0.10,6/30/2022,14. Miscellaneous Items, 604. Install clearance sign,BE,2.00,7640.00,No,15280.00,1,1,4,26.00,3
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,10/18/2012,01N,D1059,0.10,6/30/2022,05. Waterway, 209. Clear siltation,AC,3.00,630.00,m3,1890.00,1,1,1,53.00,3
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,10/18/2012,01N,D1059,0.10,6/30/2022,08. Guardrails, 455. New guardrail (single and double),E2,12.00,950.00,m,11400.00,1,1,4,35.00,3
D1059_01N_IDC0904,"Culvert (611), Tribute to Wilgerivier",Major Culvert,Culvert Major,10/18/2012,01N,D1059,0.10,6/30/2022,10. Walls, 118. Repair spall (including honeycombing),AC,6.00,750.00,L,4500.00,1,1,1,22.00,3
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,6.00,750.00,L,4500.00,1,1,4,89.00,3
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,6.00,750.00,L,4500.00,1,1,4,89.00,3
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),S2,4.00,750.00,L,3000.00,1,1,1,33.00,3
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,08. Surfacing, 207. Clear debris,BU,5.00,750.00,m3,3750.00,1,1,4,107.00,2
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,U2,4.00,950.00,m2,3800.00,1,1,1,26.00,3
D1463_01N_B2729,Road D1463 over rail,Bridge,Bridge,10/9/2012,01N,D1463,9.00,6/30/2022,04. Approach Embankment Protection Works, 401. Apply weed killer/ant poison and remove growth,BU,160.00,80.00,m2,12800.00,1,1,1,8.00,3
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,20.00,750.00,L,15000.00,2,4,4,27.00,3
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S2,10.00,750.00,m,7500.00,2,4,4,53.00,3
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,15. Bearings, 654. Access-using scaffold (< 10 m),AP,2.00,4640.00,No,9280.00,2,4,9,97.00,3
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,4.00,750.00,L,0.00,0,0,1,9999999.00,1
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,08. Surfacing, 502. Resurface or patch,U2,3.00,950.00,m2,2850.00,2,4,4,140.00,1
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,U2,1.00,3100.00,No,3100.00,3,4,4,129.00,2
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,01. Approach Embankment, 359. Replace sidedrain/gutter/downchutes,U2,5.00,1570.00,m,7850.00,4,4,9,115.00,2
D1386_01N_B4173,Rail Bridge,Bridge,Bridge,10/25/2012,01N,D1386,14.50,6/30/2022,15. Bearings," 253. Refurbish (corrosion protection, anchor bolts, etc)",AP,15.00,4640.00,No,69600.00,3,4,9,13.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,13. Pier Foundations, 105. Concrete (mass),P4,4.00,12270.00,m3,49080.00,2,4,4,8.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S1,2.00,750.00,m,1500.00,1,1,4,267.00,1
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P2,2.00,750.00,L,1500.00,1,1,4,267.00,1
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,11. Parapet, 458. New/repair steel railing,S1,6.00,3100.00,m,18600.00,4,4,9,48.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,11. Parapet, 454. New endblocks,S1,1.00,15350.00,No,15350.00,4,4,9,59.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,5.00,3100.00,No,15500.00,1,1,1,6.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,06. Abutments, 120. Seal cracks,U1,3.00,750.00,m,2250.00,1,1,4,178.00,1
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,03. Waterway, 207. Clear debris,AS,15.00,750.00,m3,11250.00,3,4,9,80.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,4.00,3100.00,No,12400.00,3,4,4,32.00,3
D1017_01N_B1443,D1017-03,Bridge,Bridge,10/10/2012,01N,D1017,3.60,6/30/2022,14. Piers & Columns, 120. Seal cracks,P2,3.00,750.00,m,2250.00,1,1,4,178.00,1
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,U1,1.00,3100.00,No,3100.00,3,4,4,129.00,2
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,03. Waterway, 207. Clear debris,S2,2.00,750.00,m3,1500.00,1,1,1,67.00,3
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,06. Abutments, 120. Seal cracks,U2,4.00,750.00,m,3000.00,1,1,4,133.00,1
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U1,1.00,750.00,m,750.00,1,1,1,133.00,1
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,8.00,750.00,L,6000.00,1,1,1,17.00,3
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,4.00,750.00,L,3000.00,1,1,1,33.00,3
D1386_01N_B4855,Moreleta River Bridge 3,Bridge,Bridge,10/26/2012,01N,D1386,1.80,6/30/2022,20. Decks and Slabs, 207. Clear debris,S1,0.50,750.00,m3,375.00,1,1,1,267.00,1
D1188_01N_B4201,unknown,Bridge,Bridge,10/23/2012,01N,D1188,5.20,6/30/2022,02. Guardrail, 455. New guardrail (single and double),U2,20.00,950.00,m,19000.00,4,4,16,84.00,3
D1188_01N_B4201,unknown,Bridge,Bridge,10/23/2012,01N,D1188,5.20,6/30/2022,11. Parapet, 103. Clean concrete surface,S4,4.00,150.00,m2,600.00,1,1,1,167.00,1
D1188_01N_B4201,unknown,Bridge,Bridge,10/23/2012,01N,D1188,5.20,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S4,3.00,750.00,L,2250.00,1,1,1,44.00,3
D1188_01N_B4754,Unknown,Bridge,Bridge Cellular,10/23/2012,01N,D1188,2.20,6/30/2022,05. Waterway, 152. Backfill scour damage (mass concrete),E1,10.00,7640.00,m3,76400.00,4,4,9,12.00,3
D1188_01N_B4754,Unknown,Bridge,Bridge Cellular,10/23/2012,01N,D1188,2.20,6/30/2022,13. Cell Deformation, 953. Ad-hoc item (describe under Remarks),AC,36.00,1080.00,No,38880.00,4,4,0,0.00,3
D1188_01N_B4754,Unknown,Bridge,Bridge Cellular,10/23/2012,01N,D1188,2.20,6/30/2022,14. Miscellaneous Items, 604. Install clearance sign,BE,4.00,7640.00,No,30560.00,1,1,4,13.00,3
D1132_01N_C4274,unknown,Major Culvert,Culvert Major,10/26/2012,01N,D1132,8.40,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",BE,24.00,630.00,m,15120.00,1,1,0,0.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,06. Abutments, 120. Seal cracks,U1,13.00,750.00,m,9750.00,1,1,1,10.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,21. Miscellaneous Items, 617. Replace road signs,U1,3.00,2480.00,m2,7440.00,1,1,1,13.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,19. Transverse Members, 118. Repair spall (including honeycombing),S1,2.00,750.00,L,1500.00,1,1,1,67.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),S1,5.00,750.00,L,3750.00,3,4,4,107.00,2
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,11. Parapet, 457. New traffic barrier (Concrete F-Shape/NJ),S1,6.00,11540.00,m,69240.00,3,4,4,6.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,11. Parapet, 454. New endblocks,S1,1.00,15350.00,No,15350.00,1,1,4,26.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,100.00,950.00,m2,95000.00,2,4,4,4.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U2,2.00,750.00,L,1500.00,1,1,1,67.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,06. Abutments, 103. Clean concrete surface,U1,20.00,150.00,m2,3000.00,1,1,1,33.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",U1,25.00,630.00,m,15750.00,1,1,9,57.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,02. Guardrail, 455. New guardrail (single and double),U1,50.00,950.00,m,47500.00,3,4,9,19.00,3
D1027_01N_B1205,Cedar Road (D1027) over Klein Jukskei River,Bridge,Bridge,11/9/2012,01N,D1027,7.10,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,S1,6.00,3100.00,No,18600.00,1,1,1,5.00,3
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,10/25/2012,01N,D1386,23.30,6/30/2022,20. Decks and Slabs, 120. Seal cracks,BU,6.00,750.00,m,4500.00,2,4,4,89.00,3
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,10/25/2012,01N,D1386,23.30,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),U2,10.00,750.00,L,7500.00,2,4,4,53.00,3
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,10/25/2012,01N,D1386,23.30,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),U2,10.00,750.00,L,7500.00,2,4,4,53.00,3
D1386_01N_B2470,Krokodil River Bridge,Bridge,Bridge,10/25/2012,01N,D1386,23.30,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,6.00,750.00,L,4500.00,2,4,4,89.00,3
